"90486","3201","ACC","331","Wilf","Advanced Accounting","3","Mayer; Steve","0","30","30","0","10","10","T||R}1500}1615}FURST}","","","ACC1102;;ACC2403;;FIN1001;;MAR1001;;ENT1020;;IDS1020|IDS1556|ACC3601","","","","Accounting for business combinations and consolidations; foreign operations; segment reporting; interim reporting; and partnerships. Prerequisite(s): ACC 1102; ACC 2403; FIN 1001; MAR 1001; ENT 1020; IDS 1020 and IDS 1556. Not recommended to be taken with ACC 3601."
"90513","3601","ACC","561","Wilf","Princpls of Auditing-Capstone","3","Auslander; Rob Mark","0","30","30","0","10","10","R}1830}2100}BELFHL}B411","","","ACC1102|ACC2403;;ACC3601","","","","Auditing standards and procedures; auditor's reports; the nature of evidence in the audit; evaluation of internal controls; audit sampling; auditing computerized systems; code of professional conduct. Prerequisite(s): ACC 1102 and ACC 2403; and foundation courses. Section information text: ACC 3601 is a required capstone course for SENIORS ONLY who are planning to graduate in Jan 2026; May 2026 or Sep 2026"
"90446","3601","ACC","F","Beren","Principles of Auditing","3","Staff","0","30","30","0","5","5","M||W}1640}1755}LEX215}","","","ACC1102|ACC2403;;ACC3601","","","","Auditing standards and procedures; auditor's reports; the nature of evidence in the audit; evaluation of internal controls; audit sampling; auditing computerized systems; code of professional conduct. Prerequisite(s): ACC 1102 and ACC 2403; and foundation courses. Section information text: ACC 3601 is a required capstone course for SENIORS ONLY who are planning to graduate in January 2026; May 2026 or September 2026."
"90494","3851","ACC","241","Wilf","Financial Statement Analysis","3","Staff","0","10","10","0","3","3","M||W}1630}1745}FURST}F305","HONR","Honors Course","ACC1002;;FIN1001|IDS1131|FIN3851","","","","Designed primarily for non-Accounting majors. Methods of communicating information about financing and operating activities of corporations; and techniques for analyzing and evaluating that information. Prerequisite(s): ACC 1002; FIN 1001 and IDS 1131. Crosslisted with FIN 3851."
"90852","4741","ACC","1","Beren","Accounting Internship","1","Mayer; Steve","0","20","20","0","10","10","}N/A}N/A}OFF}SITE","","","","","","","No course description is available."
"90623","4741","ACC","2","Wilf","Accounting Internship","1","Mayer; Steve","0","30","30","0","0","0","}N/A}N/A}OFF}SITE","","","","","","","Section information text: Internship form required."
"93089","1630","ART","621","Wilf","American Architecture","3","Glassman; Paul","0","15","15","0","5","5","F}1000}1200}TBA}","HONR||INTC||WRIN","Honors Course||YC-INTC Requirement||YC-WRIN Requirement","","","","","The course explores the development of architecture in the United States from early colonial settlements to postmodern practices. Through comparing materials; spaces; and systems of buildings; students acquire an architectural vocabulary and a greater consciousness of the built environment in the United States. Section information text: First Time on Campus students only."
"92427","1831","ART","361","Wilf","Architectural Design Process","3","Glassman; Paul","0","18","18","0","5","5","T}1845}2115}GLUECK}G417","INTC","YC-INTC Requirement","","","","","This studio course introduces visual concepts of built form. Through analysis of canonical buildings; students understand plan; section; and elevation and develop a design methodology for their own work. Students learn basic drafting; graphic techniques; and model building."
"90659","2301","ART","361","Wilf","Principles of Drawing","2","Aurich; Carla","0","12","12","0","5","5","T}1845}2035}MUSS}MU107","","","","","","","Introduction to the materials; skills; and techniques of drawing. The nature and varieties of graphic techniques; drawing disciplines such as perspective; modeling; and foreshortening; exploration of the imaginative and expressive nature of drawing. Projects. For beginning and intermediate students."
"93090","2306","ART","241","Wilf","Digital Drawing","3","Gil; Ramon","0","16","16","0","5","5","M||W}1630}1745}BELFHL}B1111","","","","","","","Have you always enjoyed drawing but would like to learn how to do it on the computer? This class will get you started on using the industry standard vector drawing program; Adobe Illustrator to create imagery and graphics suitable for personal and commercial uses. The goal for the semester will be to create several digital art projects. Students will work their way up to these projects through assignments that will teach basic shapes; coloring; template tracing and artistic problem solving."
"93091","2511","ART","461","Wilf","Beginning Painting I","2","Aurich; Carla","0","12","12","0","5","5","W}1845}2035}MUSS}MU107","","","","","","","The course is an introduction to painting with oils and acrylics."
"90692","3005","ART","231","Wilf","Introduction to Graphic Design","3","Gil; Ramon","0","16","16","0","5","5","M||W}1500}1615}BELFHL}B1111","","","","","","","Students explore concepts of design through expressive typography; conceptual thinking; and visual hierarchy. The focus is on analog idea generation and use Adobe software as the main tool in executing each project in both analog and digital versions."
"93092","3012","ART","332","Wilf","Introduction to Photography","3","Grimaldi; Michael","0","10","10","0","5","5","T}1500}1730}BELFHL}B1111","","","","","","","An introduction to the fundamentals of digital photography. Basic camera operation; editing images; lighting and composition will be covered; with attention to the history of photography as an art form. Adobe Photoshop; Lightroom and other software are utilized to explore possibilities for image correction; manipulation and output."
"91597","1050","ARTS","B","Beren","Introduction to Art","3","Miller; Marlee","0","30","30","0","10","10","M||W}1025}1140}LEX215}LX717","INTR||SYHM","ST-Interpreting Lit &amp; Arts||Sy Syms-UG Humanities Req","","","","","A study of selected masterpieces of Western civilization in painting; sculpture; and architecture; from antiquity to the 20th century. For non Majors. Not open to those who took ARTS 1051 or ARTS 1052."
"91564","1051","ARTS","L","Beren","History of Art I","3","Wisse; Jacob","0","30","30","0","10","10","T||R}1150}1305}TBA}","INTR||SYHM","ST-Interpreting Lit &amp; Arts||Sy Syms-UG Humanities Req","","","","","Introduction to the history of art and architecture of the West. Topics include ancient Egypt; Mesopotamia; Greece; Rome; the early medieval world; the Romanesque; Gothic; and early Renaissance periods. For Majors and non Majors. Not open to students who have taken ARTS 1050."
"93209","1432","ARTS","J","Beren","Late 19th Century Art","3","Young; Marnin","0","30","30","0","10","10","T||R}0900}1015}TBA}","INTR||SYHM","ST-Interpreting Lit &amp; Arts||Sy Syms-UG Humanities Req","","","","","History of art and architecture from the middle to the end of the 19th century. Emphasis on Realism; Impressionism; and Post-Impressionism."
"91950","1637","ARTS","FRI","Beren","NYC Architecture and Urban Design","3","Novick; Aviva","0","15","15","0","10","10","F}0930}1200}LEX215}LX717","INTR","ST-Interpreting Lit &amp; Arts","","","","","The architecture of New York; its building types; and various styles. Site visits and study in light of the history of the city; significant social and economic events; and patrons responsible for commissions."
"93088","1973","ARTS","K","Beren","Topics in Art History: Masterpieces of Art Across the Ages","3","Wisse; Jacob","0","30","30","0","10","10","T||R}1025}1140}LEX215}LX717","INTR||SYHM","ST-Interpreting Lit &amp; Arts||Sy Syms-UG Humanities Req","","","","","May be repeated; as subject matter varies from term to term. Some courses offered abroad. Interpreting Literature and the Arts. For Majors and non Majors. Section information text: This course serves as an introduction to art and visual culture through twenty-five of its greatest and most enduring masterpieces. By focusing on extraordinary paintings; sculptures and buildings produced from classical antiquity to the twentieth century; students will experience art as a window into significant world cultures; each work providing a multifaceted lens into the intellectual; political; religious and social context in which it was conceived. Several visits to local museums will provide firsthand encounters with masterworks and the remarkable artists who created them. For non-Majors. Not open to those who took ARTS 1050 or 1051 or 1052."
"93208","1974","ARTS","N","Beren","Topics in Art History: Civic Art &amp; Culture: Modern Era","3","Wisse; Jacob","0","15","15","0","10","10","T||R}1500}1615}TBA}","HONR||INTR||SYHM","Honors Course||ST-Interpreting Lit &amp; Arts||Sy Syms-UG Humanities Req","","","","","May be repeated; as subject matter varies from term to term. Some courses offered abroad. Section information text: This course explores the character and development of civic art and visual culture across Europe and America from the Renaissance to the modern era &ndash; i.e.; from the fifteenth century to the twentieth century. By considering political; economic; religious and cultural factors; students will analyze the various ways in which art was inspired by local traditions and ideals and how civic identity was; in turn; molded and expressed through the visual arts."
"91569","2201","ARTS","A","Beren","Principles of Design","3","Creede; Mary Therese","0","10","10","0","0","0","M||W}0900}1015}LEX215}LX801","MSEL","ST-ENG Media Studies Elec","","","","","Elements and principles of two-dimensional visual expression; such as line; space; color; and shape; with emphasis on compositional movement. Studio projects; weekly sketchbook assignments and written art reviews. Foundations level course to be taken early in the Studio Art sequence. Required for Studio Art Majors"
"91555","2301","ARTS","K","Beren","Principles of Drawing","3","Tullius; Traci","0","10","10","0","0","0","T||R}1025}1140}LEX215}LX804","","","","","","","Introduction to basic drawing skills via study of the still life and clothed model. Fundamental drawing concepts including: Perspective; effective use of line; mass and value are explored through diverse graphic media. Foundations level course to be taken early in the Studio Art sequence. Required for Studio Art Majors"
"93207","2511","ARTS","B","Beren","Painting Fundamentals","3","Creede; Mary Therese","0","10","10","0","0","0","M||W}1025}1140}LEX215}LX804","","","","","","","Introduction of basic acrylic painting techniques. Fundamental concepts and skills including color mixing; use of tools and media; rendering form; spatial relationships and composition will be covered through a variety of projects; primarily from the still life. Foundations level course to be taken early in the Studio Art sequence. Required for Studio Art majors."
"93206","2703","ARTS","D1","Beren","Model Making","3","Creede; Mary Therese","0","10","10","0","10","10","M||W}1325}1440}LEX215}LX804","","","","","","","This course focuses on model making and its implementation as a three-dimensional communication tool in application to various design disciplines. Starting with scale drawing as a foundation; and with an emphasis on materials and techniques; the entire design and construction process will be explored from sketch models through finished color renditions."
"93205","2901","ARTS","L","Beren","Printmaking","3","Tullius; Traci","0","10","10","0","10","10","T||R}1150}1305}LEX215}LX803","","","","","","","Introduction to a variety of printmaking techniques: including relief; intaglio; monotype and serigraphy with an emphasis on contemporary practices and materials."
"91581","3009","ARTS","B","Beren","Introduction to Computer Design","3","Singer; Emily A.","0","10","10","0","10","10","M||W}1025}1140}LEX215}LX809","MSEL","ST-ENG Media Studies Elec","","","","","Students acquire a basic proficiency in the software programs essential to graphic design and visual communication: Adobe Photoshop; Illustrator and InDesign. This course is the prerequisite for several intermediate level design courses and should be taken early in the Studio Art sequence."
"91699","3012","ARTS","KLT","Beren","Digital Photography","3","Grimaldi; Michael","0","10","10","0","10","10","T}1030}1300}LEX215}LX809","MSEL","ST-ENG Media Studies Elec","","","","","An introduction to the fundamentals of digital photography. Basic camera operation; editing images; lighting and composition will be covered. Adobe Photoshop; Lightroom and other software are utilized to explore possibilities for image correction; manipulation and output."
"93211","3014","ARTS","C","Beren","Typography","3","Singer; Emily A.","0","10","10","0","10","10","M||W}1155}1310}LEX215}LX809","MSEL","ST-ENG Media Studies Elec","ARTS3009","","","","Introduction to the fundamentals of typography: Typographic terms and technologies; compositions and systems. Projects utilize hand-made studio processes as well as computer technology. Focus on typography as an expressive medium that can create and support content through a variety of projects. Prerequisite(s): ARTS 3009 or permission of instructor."
"91598","4974","ARTS","CLB","Beren","Pre-Senior Project","0","Tullius; Traci","0","12","12","0","10","10","W}1441}1534}LEX215}LX804","","","","","","","Students will conceptualize and prepare for the execution of their senior project; including project proposal approval by the Chair. This course is graded on a P/N basis."
"91608","4975","ARTS","TBA","Beren","Senior Project","1","Tullius; Traci","0","12","12","0","10","10","}N/A}N/A}TBA}","","","ARTS4974","","","","Mandatory exit project in which the student creates a culminating portfolio piece in her area of specialization. Required for studio art majors. Prerequisite(s): ARTS 4974."
"93093","2110","BIB","311","Wilf","Joshua/Judges","2","Carmy; Shalom","0","20","20","0","5","5","T}1305}1445}TBA}","","","","","","","Selections from the Early Prophets; with classical commentaries; emphasis on historiographic study and the use of archaeological findings. First semester: conquest of Canaan and early Judges; second semester: later Judges and the establishment of the Monarchy. For advanced students."
"93094","2110","BIB","511","Wilf","Joshua/Judges","2","Carmy; Shalom","0","20","20","0","5","5","R}1305}1445}TBA}","","","","","","","Selections from the Early Prophets; with classical commentaries; emphasis on historiographic study and the use of archaeological findings. First semester: conquest of Canaan and early Judges; second semester: later Judges and the establishment of the Monarchy. For advanced students."
"93095","2700","BIB","311","Wilf","Psalms","2","Angel; Joseph L.","0","15","15","0","5","5","T}1305}1445}TBA}","HONR","Honors Course","","","","","No course description is available."
"93096","2700","BIB","511","Wilf","Psalms","2","Angel; Joseph L.","0","25","25","0","5","5","R}1305}1445}TBA}","","","","","","","No course description is available."
"93097","2810","BIB","311","Wilf","Prophecies for Bayit Sheini: Chaggai; Zechariah; Malachi","2","Grunhaus; Naomi Cohen","0","25","25","0","5","5","T}1305}1445}TBA}","","","","","","","This course explores the period of Shivat Zion - the return to the Land of Israel after Galut Bavel; with the building of Bayit Sheini and Jewish resettlement of the land. Following this last historical period discussed in Tanakh; the Tanakh was officially closed; or 'canonized'. The course examines the prophetic works associated with this period - Chaggai; Zechariah; and Malachi - accompanied by discussion of historical aspects of the period as noted in the Book of Ezra."
